method,modality,benchmark,seed,source,ACC,AUC,AUPR,SEN,SPEC,F1,MCC
CARS-AMP,Sequence,benchmark2,37,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark2/seed37/metrics.json,0.7670967741935484,0.8527377639548208,0.9049375671186394,0.7013422818791947,0.8567073170731707,0.7764705882352941,0.5527752400000112
CARS-AMP,Sequence,benchmark2,42,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark2/seed42/metrics.json,0.775483870967742,0.8537557292519233,0.9055024002578514,0.7203579418344519,0.850609756097561,0.7872860635696821,0.5647088384962442
CARS-AMP,Sequence,benchmark2,47,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark2/seed47/metrics.json,0.7741935483870968,0.8646072052163474,0.907981937257474,0.7404921700223713,0.8201219512195121,0.7909199522102748,0.5539774005704877
CARS-AMP,Sequence,benchmark2,52,/home/fyh0106/SUCF/outputs/baselines_2026/cars_amp/benchmark2/seed52/metrics.json,0.787741935483871,0.8728754024117422,0.9205123925369776,0.7192393736017897,0.8810975609756098,0.7962848297213623,0.5946629004211856
AMPidentifier,Sequence,benchmark2,32,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark2/seed32/metrics.json,0.7787096774193548,0.8695214028482567,0.9118945667027502,0.7427293064876958,0.8277439024390244,0.7947336923997608,0.5637099183909103
AMPidentifier,Sequence,benchmark2,37,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark2/seed37/metrics.json,0.7741935483870968,0.8686381431767337,0.9114989410787838,0.7393736017897091,0.8216463414634146,0.7906698564593301,0.5543710341568073
AMPidentifier,Sequence,benchmark2,42,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark2/seed42/metrics.json,0.7793548387096774,0.86940886397119,0.9116060665252685,0.7416107382550335,0.8307926829268293,0.7949640287769785,0.5656158342852209
AMPidentifier,Sequence,benchmark2,47,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark2/seed47/metrics.json,0.7761290322580645,0.8692571070006003,0.9120678721139607,0.7393736017897091,0.8262195121951219,0.7920910724985021,0.5588858187795726
AMPidentifier,Sequence,benchmark2,52,/home/fyh0106/SUCF/outputs/baselines_2026/ampidentifier/benchmark2/seed52/metrics.json,0.772258064516129,0.8687268101707862,0.9116004511474185,0.7337807606263982,0.8246951219512195,0.787987987987988,0.5518603402243683
AMP-CapsNet,Sequence,benchmark2,32,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark2/seed32/metrics.json,0.7483870967741936,0.8316861734053582,0.8873148712387673,0.6935123042505593,0.823170731707317,0.7607361963190186,0.5112034454342727
AMP-CapsNet,Sequence,benchmark2,37,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark2/seed37/metrics.json,0.7503225806451613,0.8152878949091504,0.857625832727122,0.7024608501118568,0.8155487804878049,0.764455264759586,0.5121549165925965
AMP-CapsNet,Sequence,benchmark2,42,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark2/seed42/metrics.json,0.7529032258064516,0.8354681617285972,0.8894494252915359,0.7203579418344519,0.7972560975609756,0.7707959305804908,0.5114774249513738
AMP-CapsNet,Sequence,benchmark2,47,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark2/seed47/metrics.json,0.7735483870967742,0.8420499809024935,0.893276638619037,0.772930648769575,0.774390243902439,0.7974610502019619,0.542683884411048
AMP-CapsNet,Sequence,benchmark2,52,/home/fyh0106/SUCF/outputs/baselines_2026/amp_capsnet/benchmark2/seed52/metrics.json,0.7554838709677419,0.8296366017351449,0.8860930971974068,0.6823266219239373,0.8551829268292683,0.7629768605378362,0.5333151855784071
esm-AxP-GDL,Sequence + structure,benchmark2,32,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark2/seed32/metrics.json,0.8741935483870967,0.9340189679161892,0.956383760023568,0.8646532438478747,0.8871951219512195,0.8879954049396898,0.7461593260698907
esm-AxP-GDL,Sequence + structure,benchmark2,37,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark2/seed37/metrics.json,0.8703225806451613,0.9431405849293393,0.9641339811776863,0.8702460850111857,0.8704268292682927,0.8856004553215708,0.7366537023158851
esm-AxP-GDL,Sequence + structure,benchmark2,42,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark2/seed42/metrics.json,0.8625806451612903,0.9288472949746276,0.9507533782440002,0.843400447427293,0.8887195121951219,0.8762347472399767,0.7250718136559275
esm-AxP-GDL,Sequence + structure,benchmark2,47,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark2/seed47/metrics.json,0.8832258064516129,0.9331382659464178,0.9542651368478471,0.8791946308724832,0.8887195121951219,0.896748431260696,0.7633043541779423
esm-AxP-GDL,Sequence + structure,benchmark2,52,/home/20T-1/fyh0106/SUCF/outputs/esmaxp_gdl_same_split/benchmark2/seed52/metrics.json,0.8670967741935484,0.9392307115185246,0.9616345252042617,0.8859060402684564,0.8414634146341463,0.8849162011173185,0.7276673008079249
RCSF-AMP,Sequence + structure,benchmark2,32,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gate_min_screen_20260809/benchmark2_gate_min_0p15_seed32/logs/final_test_results_config_20260809_193240.json,0.8851612903225806,0.9525904403339336,0.968881099334699,0.8657718120805369,0.9115853658536586,0.8968713789107764,0.7702246382814771
RCSF-AMP,Sequence + structure,benchmark2,37,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gmin015_confirm_20260809/benchmark2_no_residual_seed37/logs/final_test_results_config_20260809_230937.json,0.8864516129032258,0.9568157636274348,0.9721895470313705,0.8568232662192393,0.926829268292683,0.8969555035128804,0.7753416462050345
RCSF-AMP,Sequence + structure,benchmark2,42,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gate_min_screen_20260809/benchmark2_gate_min_0p15_seed42/logs/final_test_results_config_20260809_193240.json,0.8890322580645161,0.9538215474436623,0.9708628800016792,0.8791946308724832,0.9024390243902439,0.9013761467889908,0.7760066572230622
RCSF-AMP,Sequence + structure,benchmark2,47,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gmin015_confirm_20260809/benchmark2_no_residual_seed47/logs/final_test_results_config_20260809_230937.json,0.8838709677419355,0.9542529464724177,0.9698761763395497,0.8758389261744967,0.8948170731707317,0.8969072164948453,0.7653035607925854
RCSF-AMP,Sequence + structure,benchmark2,52,/home/20T-1/fyh0106/SUCF/outputs/sequence_warmstart_no_residual_gate_min_screen_20260809/benchmark2_gate_min_0p15_seed52/logs/final_test_results_config_20260809_193240.json,0.8825806451612903,0.9534464178534403,0.9696843958568894,0.8635346756152126,0.9085365853658537,0.8945538818076477,0.7649872215716587
